fips,pop_density
1.303900000000000000e+04,8.240000000000000568e+01
1.304300000000000000e+04,4.529999999999999716e+01
1.304500000000000000e+04,2.215000000000000000e+02
1.304700000000000000e+04,3.943000000000000114e+02
1.304900000000000000e+04,1.569999999999999929e+01
1.305100000000000000e+04,6.217000000000000455e+02
1.305300000000000000e+04,4.529999999999999716e+01
1.305500000000000000e+04,8.300000000000000000e+01
1.305700000000000000e+04,5.083000000000000114e+02
1.305900000000000000e+04,9.791000000000000227e+02
1.306100000000000000e+04,1.630000000000000071e+01
1.306300000000000000e+04,1.832500000000000000e+03
1.306500000000000000e+04,8.500000000000000000e+00
1.306700000000000000e+04,2.026400000000000091e+03
1.306900000000000000e+04,7.370000000000000284e+01
1.307100000000000000e+04,8.359999999999999432e+01
1.307300000000000000e+04,4.276000000000000227e+02
1.307500000000000000e+04,7.579999999999999716e+01
1.307700000000000000e+04,2.888000000000000114e+02
1.307900000000000000e+04,3.889999999999999858e+01
1.308100000000000000e+04,8.600000000000000000e+01
1.308300000000000000e+04,9.559999999999999432e+01
1.308500000000000000e+04,1.059000000000000057e+02
1.308700000000000000e+04,4.660000000000000142e+01
1.308900000000000000e+04,2.585699999999999818e+03
1.309100000000000000e+04,4.400000000000000000e+01
1.309300000000000000e+04,3.810000000000000142e+01
1.309500000000000000e+04,2.876999999999999886e+02
1.309700000000000000e+04,6.617999999999999545e+02
1.309900000000000000e+04,2.150000000000000000e+01
1.310100000000000000e+04,9.699999999999999289e+00
1.310300000000000000e+04,1.094000000000000057e+02
1.310500000000000000e+04,5.739999999999999858e+01
1.310700000000000000e+04,3.320000000000000284e+01
1.310900000000000000e+04,6.020000000000000284e+01
1.311100000000000000e+04,6.120000000000000284e+01
1.311300000000000000e+04,5.482999999999999545e+02
1.311500000000000000e+04,1.889000000000000057e+02
1.311700000000000000e+04,7.835000000000000000e+02
1.311900000000000000e+04,8.450000000000000000e+01
1.312100000000000000e+04,1.748000000000000000e+03
1.312300000000000000e+04,6.629999999999999716e+01
1.312500000000000000e+04,2.139999999999999858e+01
1.312700000000000000e+04,1.896999999999999886e+02
1.312900000000000000e+04,1.550999999999999943e+02
1.313100000000000000e+04,5.500000000000000000e+01
1.313300000000000000e+04,4.129999999999999716e+01
1.313500000000000000e+04,1.871200000000000045e+03
1.313700000000000000e+04,1.555000000000000000e+02
1.313900000000000000e+04,4.575000000000000000e+02
1.314100000000000000e+04,2.000000000000000000e+01
1.314300000000000000e+04,1.020000000000000000e+02
1.314500000000000000e+04,6.900000000000000000e+01
1.314700000000000000e+04,1.085000000000000000e+02
1.314900000000000000e+04,4.000000000000000000e+01
1.315100000000000000e+04,6.330000000000000000e+02
1.315300000000000000e+04,3.725000000000000000e+02
1.315500000000000000e+04,2.689999999999999858e+01
1.315700000000000000e+04,1.780999999999999943e+02
1.315900000000000000e+04,3.779999999999999716e+01
1.316100000000000000e+04,4.560000000000000142e+01
1.316300000000000000e+04,3.220000000000000284e+01
1.316500000000000000e+04,2.400000000000000000e+01
1.316700000000000000e+04,3.289999999999999858e+01
1.316900000000000000e+04,7.279999999999999716e+01
1.317100000000000000e+04,9.979999999999999716e+01
1.317300000000000000e+04,5.439999999999999858e+01
1.317500000000000000e+04,6.000000000000000000e+01
1.317700000000000000e+04,7.950000000000000000e+01
1.317900000000000000e+04,1.295000000000000000e+02
1.318100000000000000e+04,3.800000000000000000e+01
1.318300000000000000e+04,3.610000000000000142e+01
1.318500000000000000e+04,2.201999999999999886e+02
1.318700000000000000e+04,1.059000000000000057e+02
1.318900000000000000e+04,8.500000000000000000e+01
1.319100000000000000e+04,3.379999999999999716e+01
1.319300000000000000e+04,3.679999999999999716e+01
1.319500000000000000e+04,9.959999999999999432e+01
1.319700000000000000e+04,2.389999999999999858e+01
1.319900000000000000e+04,4.389999999999999858e+01
1.320100000000000000e+04,2.169999999999999929e+01
1.320500000000000000e+04,4.589999999999999858e+01
1.320700000000000000e+04,6.679999999999999716e+01
1.320900000000000000e+04,3.810000000000000142e+01
1.321100000000000000e+04,5.139999999999999858e+01
1.321300000000000000e+04,1.150000000000000000e+02
1.321500000000000000e+04,8.775000000000000000e+02
1.321700000000000000e+04,3.673000000000000114e+02
1.321900000000000000e+04,1.780000000000000000e+02
1.322100000000000000e+04,3.389999999999999858e+01
1.322300000000000000e+04,4.558000000000000114e+02
1.322500000000000000e+04,1.843000000000000114e+02
1.322700000000000000e+04,1.267999999999999972e+02
1.322900000000000000e+04,5.929999999999999716e+01
1.323100000000000000e+04,8.270000000000000284e+01
1.323300000000000000e+04,1.335999999999999943e+02
1.323500000000000000e+04,4.820000000000000284e+01
1.323700000000000000e+04,6.160000000000000142e+01
1.323900000000000000e+04,1.660000000000000142e+01
1.324100000000000000e+04,4.400000000000000000e+01
1.324300000000000000e+04,1.800000000000000000e+01
1.324500000000000000e+04,6.183999999999999773e+02
1.324700000000000000e+04,6.565000000000000000e+02
1.324900000000000000e+04,3.000000000000000000e+01
1.325100000000000000e+04,2.260000000000000142e+01
1.325300000000000000e+04,3.710000000000000142e+01
1.325500000000000000e+04,3.261000000000000227e+02
1.325700000000000000e+04,1.460999999999999943e+02
1.325900000000000000e+04,1.319999999999999929e+01
1.326100000000000000e+04,6.800000000000000000e+01
1.326300000000000000e+04,1.750000000000000000e+01
1.326500000000000000e+04,8.800000000000000711e+00
1.326700000000000000e+04,5.320000000000000284e+01
1.326900000000000000e+04,2.360000000000000142e+01
1.327100000000000000e+04,3.770000000000000284e+01
1.327300000000000000e+04,2.780000000000000071e+01
1.327500000000000000e+04,8.209999999999999432e+01
1.327700000000000000e+04,1.549000000000000057e+02
1.327900000000000000e+04,7.479999999999999716e+01
1.328100000000000000e+04,6.289999999999999858e+01
1.328300000000000000e+04,3.450000000000000000e+01
1.328500000000000000e+04,1.619000000000000057e+02
1.328700000000000000e+04,3.130000000000000071e+01
1.328900000000000000e+04,2.519999999999999929e+01
1.329100000000000000e+04,6.629999999999999716e+01
1.329300000000000000e+04,8.400000000000000000e+01
1.329500000000000000e+04,1.540000000000000000e+02
1.329700000000000000e+04,2.571999999999999886e+02
1.329900000000000000e+04,4.070000000000000284e+01
1.330100000000000000e+04,2.050000000000000000e+01
1.330300000000000000e+04,3.119999999999999929e+01
1.330500000000000000e+04,4.689999999999999858e+01
1.330700000000000000e+04,1.340000000000000036e+01
1.330900000000000000e+04,2.510000000000000142e+01
1.331100000000000000e+04,1.127999999999999972e+02
1.331300000000000000e+04,3.531999999999999886e+02
1.331500000000000000e+04,2.450000000000000000e+01
1.331700000000000000e+04,2.260000000000000142e+01
1.331900000000000000e+04,2.139999999999999858e+01
1.332100000000000000e+04,3.800000000000000000e+01
1.500100000000000000e+04,4.589999999999999858e+01
1.500300000000000000e+04,1.586700000000000045e+03
1.500500000000000000e+04,7.500000000000000000e+00
1.500700000000000000e+04,1.082000000000000028e+02
1.500900000000000000e+04,1.333000000000000114e+02
1.600100000000000000e+04,3.728000000000000114e+02
1.600300000000000000e+04,2.899999999999999911e+00
1.600500000000000000e+04,7.450000000000000000e+01
1.600700000000000000e+04,6.099999999999999645e+00
1.600900000000000000e+04,1.200000000000000000e+01
1.601100000000000000e+04,2.180000000000000071e+01
1.601300000000000000e+04,8.099999999999999645e+00
1.601500000000000000e+04,3.700000000000000178e+00
1.601700000000000000e+04,2.360000000000000142e+01
1.601900000000000000e+04,5.589999999999999858e+01
1.602100000000000000e+04,8.599999999999999645e+00
1.602300000000000000e+04,1.300000000000000044e+00
1.602500000000000000e+04,1.000000000000000000e+00
1.602700000000000000e+04,3.216000000000000227e+02
1.602900000000000000e+04,3.899999999999999911e+00
1.603100000000000000e+04,8.900000000000000355e+00
1.603300000000000000e+04,5.999999999999999778e-01
1.603500000000000000e+04,3.600000000000000089e+00
1.603700000000000000e+04,9.000000000000000222e-01
1.603900000000000000e+04,8.800000000000000711e+00
1.604100000000000000e+04,1.930000000000000071e+01
1.604300000000000000e+04,7.099999999999999645e+00
1.604500000000000000e+04,2.980000000000000071e+01
1.604700000000000000e+04,2.119999999999999929e+01
1.604900000000000000e+04,1.899999999999999911e+00
1.605100000000000000e+04,2.389999999999999858e+01
1.605300000000000000e+04,3.750000000000000000e+01
1.605500000000000000e+04,1.112999999999999972e+02
1.605700000000000000e+04,3.460000000000000142e+01
1.605900000000000000e+04,1.699999999999999956e+00
